claim_id	metric	value	unit	scope	qualification	source_record
REL2-ALIGN-001	uncompressed_release_and_candidate_median_wall_times	84.28 / 56.17	seconds	GRCh38, 12,768,316 public paired reads, uncompressed local SSD, 96 logical CPUs, three seeded order-balanced pairs	Qualified for blackstar.2	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
REL2-ALIGN-002	uncompressed_median_paired_improvement	33.2025	percent	Same three order-balanced full-corpus pairs	Performance, variability, RSS, and correctness gates passed	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
REL2-ALIGN-003	uncompressed_bootstrap_95_interval	33.0802 to 35.8089	percent	Same three order-balanced full-corpus pairs	Positive paired interval	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
REL2-ALIGN-004	uncompressed_median_peak_rss_change	-6.8126	percent	Same three order-balanced full-corpus pairs	Negative is lower blackstar.2-source peak RSS	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/result.json
REL2-ALIGN-005	uncompressed_correctness_comparisons	3/3	pair comparisons	Same three order-balanced full-corpus pairs	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/Q01/20260723/private-uncompressed-96-three-pair-20260723T2348Z/pairs.tsv
REL2-ALIGN-006	compressed_release_and_candidate_median_wall_times	90.61 / 64.03	seconds	Same public corpus through zcat, local SSD, 96 logical CPUs, three seeded order-balanced pairs	Qualified for blackstar.2	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
REL2-ALIGN-007	compressed_median_paired_improvement	28.5399	percent	Same three order-balanced compressed-input pairs	Performance, variability, RSS, and correctness gates passed	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
REL2-ALIGN-008	compressed_bootstrap_95_interval	28.4661 to 29.6105	percent	Same three order-balanced compressed-input pairs	Positive paired interval	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
REL2-ALIGN-009	compressed_median_peak_rss_change	-6.7724	percent	Same three order-balanced compressed-input pairs	Negative is lower blackstar.2-source peak RSS	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
REL2-ALIGN-010	compressed_correctness_comparisons	3/3	pair comparisons	Same three order-balanced compressed-input pairs	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/pairs.tsv
REL2-ALIGN-011	shared_genome_unsorted_bam_correctness	5/5	checks	2,000,000 public paired reads, LoadAndKeep, unsorted BAM, canonical record comparison	Safety gate; not a performance claim	benchmarks/labs/Q01/20260723/shared-unsorted-bam-2m-one-pair-20260724T0012Z/pair-01-comparison.json
REL2-ALIGN-012	shared_genome_canonical_bam_digest	e3f67bccb149277f6f9673e204071b80afab5021c8182028ec17678cdbc750ac	sha256	Same shared-index unsorted-BAM differential check	Control and blackstar.2-source canonical records were identical	benchmarks/labs/Q01/20260723/shared-unsorted-bam-2m-one-pair-20260724T0012Z/pair-01-comparison.json
REL2-ALIGN-013	bound_failure_control_wall_times	226.13 / 37.69	seconds	2,000,000 public paired reads, 96 requested threads, OMP_PROC_BIND close, OMP_PLACES cores, one matched pair	Failure-mode positive control; not an ordinary-path speed claim	benchmarks/labs/Q01/20260723/bound-affinity-96-2m-one-pair-20260724T0020Z/result.json
REL2-ALIGN-014	bound_failure_control_improvement	83.3326	percent	Same one-pair failure-mode control	Descriptive 6.00-fold recovery with exact outputs	benchmarks/labs/Q01/20260723/bound-affinity-96-2m-one-pair-20260724T0020Z/result.json
REL2-ALIGN-015	release_style_functional_gates	8 / 24 / 4	sanitizer scripts / insertion checks / SAindex checks	Cumulative source plus inherited release surface	All gates passed	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
